CollectionTime,4/2/2024 11:38:24 AM
ExposureUsed,30
CalibratedSpectrum
-994.8464149364308,843
-991.9439705588344,1029
-989.042830375826,992
-986.1429931109675,882
-983.2444574887519,942
-980.3472222346043,1070
-977.4512860748813,876
-974.5566477368716,857
-971.6633059487953,842
-968.7712594398042,875
-965.8805069399822,880
-962.9910471803447,885
-960.1028788928387,879
-957.2160008103432,845
-954.3304116666687,831
-951.4461101965578,856
-948.5630951356844,936
-945.6813652206545,1235
-942.8009191890055,1023
-939.9217557792067,1045
-937.0438737306594,1022
-934.167271783696,1010
-931.2919486795813,942
-928.4179031605115,861
-925.5451339696144,927
-922.67363985095,960
-919.8034195495097,982
-916.9344718112166,917
-914.0667953829256,935
-911.2003890124234,1052
-908.3352514484286,992
-905.471381440591,888
-902.6087777394928,858
-899.7474390966474,976
-896.8873642645002,1038
-894.0285519964284,970
-891.1710010467407,948
-888.3147101706776,901
-885.4596781244115,872
-882.6059036650465,858
-879.7533855506183,892
-876.9021225400943,886
-874.0521133933738,927
-871.2033568712878,932
-868.3558517355991,892
-865.509596749002,947
-862.6645906751228,1034
-859.8208322785192,957
-856.9783203246812,1043
-854.1370535800299,903
-851.2970308119186,863
-848.4582507886321,966
-845.620712279387,992
-842.7844140543316,985
-839.9493548845461,959
-837.1155335420422,935
-834.2829487997635,942
-831.4515994315852,939
-828.6214842123144,943
-825.7926019176898,923
-822.9649513243819,933
-820.138531209993,965
-817.3133403530569,1009
-814.4893775330396,1058
-811.6666415303382,1078
-808.845131126282,1002
-806.0248451031321,1021
-803.2057822440808,949
-800.3879413332527,963
-797.5713211557038,1068
-794.755920497422,1117
-791.941738145327,1054
-789.1287728872701,1039
-786.3170235120342,1092
-783.5064888093341,1024
-780.6971675698165,983
-777.8890585850597,954
-775.0821606475735,1023
-772.2764725507997,1012
-769.4719930891118,980
-766.6687210578151,993
-763.8666552531465,1128
-761.0657944722747,1224
-758.2661375133,1312
-755.4676831752547,1068
-752.6704302581027,1038
-749.8743775627395,1043
-747.0795238909925,970
-744.285868045621,974
-741.4934088303156,1050
-738.702145049699,1046
-735.9120755093254,1071
