CollectionTime,4/2/2024 11:32:45 AM
ExposureUsed,30
CalibratedSpectrum
-994.8464149364308,947
-991.9439705588344,1116
-989.042830375826,1002
-986.1429931109675,896
-983.2444574887519,1045
-980.3472222346043,1063
-977.4512860748813,944
-974.5566477368716,886
-971.6633059487953,898
-968.7712594398042,959
-965.8805069399822,944
-962.9910471803447,956
-960.1028788928387,959
-957.2160008103432,968
-954.3304116666687,965
-951.4461101965578,972
-948.5630951356844,982
-945.6813652206545,1265
-942.8009191890055,1130
-939.9217557792067,1108
-937.0438737306594,1127
-934.167271783696,1120
-931.2919486795813,1047
-928.4179031605115,928
-925.5451339696144,1102
-922.67363985095,1082
-919.8034195495097,1060
-916.9344718112166,995
-914.0667953829256,997
-911.2003890124234,1156
-908.3352514484286,1025
-905.471381440591,1002
-902.6087777394928,991
-899.7474390966474,1052
-896.8873642645002,1093
-894.0285519964284,1023
-891.1710010467407,940
-888.3147101706776,894
-885.4596781244115,961
-882.6059036650465,932
-879.7533855506183,912
-876.9021225400943,908
-874.0521133933738,998
-871.2033568712878,972
-868.3558517355991,946
-865.509596749002,991
-862.6645906751228,1140
-859.8208322785192,1068
-856.9783203246812,1068
-854.1370535800299,1012
-851.2970308119186,993
-848.4582507886321,1012
-845.620712279387,1094
-842.7844140543316,1058
-839.9493548845461,982
-837.1155335420422,1058
-834.2829487997635,1031
-831.4515994315852,1006
-828.6214842123144,980
-825.7926019176898,966
-822.9649513243819,1004
-820.138531209993,1083
-817.3133403530569,1042
-814.4893775330396,1054
-811.6666415303382,1109
-808.845131126282,1080
-806.0248451031321,1054
-803.2057822440808,1021
-800.3879413332527,1044
-797.5713211557038,1130
-794.755920497422,1161
-791.941738145327,1126
-789.1287728872701,1095
-786.3170235120342,1133
-783.5064888093341,1133
-780.6971675698165,1004
-777.8890585850597,1048
-775.0821606475735,1097
-772.2764725507997,1072
-769.4719930891118,1075
-766.6687210578151,1080
-763.8666552531465,1210
-761.0657944722747,1350
-758.2661375133,1371
-755.4676831752547,1132
-752.6704302581027,1110
-749.8743775627395,1084
-747.0795238909925,1037
-744.285868045621,1081
