CollectionTime,6/26/2024 3:11:27 PM
ExposureUsed,30
CalibratedSpectrum
-962.7078968117929,764
-959.9714848408522,850
-957.2358232597828,793
-954.5009119013725,765
-951.7667505983302,819
-949.0333391832855,809
-946.3006774887896,818
-943.5687653473143,867
-940.837602591253,829
-938.1071890529199,743
-935.3775245645503,723
-932.6486089583007,766
-929.9204420662485,806
-927.1930237203925,812
-924.4663537526524,745
-921.7404319948689,774
-919.0152582788041,754
-916.2908324361409,924
-913.5671542984834,793
-910.8442236973568,765
-908.1220404642074,788
-905.4006044304027,783
-902.679915427231,774
-899.959973285902,800
-897.2407778375464,782
-894.5223289132158,798
-891.8046263438832,787
-889.0876699604426,746
-886.3714595937089,770
-883.6559950744183,801
-880.9412762332282,821
-878.2273029007168,790
-875.5140749073835,794
-872.8015920836489,815
-870.0898542598545,796
-867.3788612662631,767
-864.6686129330585,768
-861.9591090903457,817
-859.2503495681506,773
-856.5423341964203,790
-853.8350628050229,818
-851.1285352237478,817
-848.4227512823054,861
-845.7177108103272,816
-843.0134136373656,799
-840.3098595928943,827
-837.6070485063082,811
-834.9049802069229,849
-832.2036545239757,805
-829.5030712866244,868
-826.8032303239481,847
-824.1041314649472,815
-821.4057745385428,834
-818.7081593735775,860
-816.0112857988148,831
-813.3151536429393,848
-810.6197627345566,841
-807.9251129021936,813
-805.2312039742981,854
-802.5380357792392,841
-799.8456081453069,861
-797.1539209007124,863
-794.462973873588,838
-791.772766891987,780
-789.083299783884,811
-786.3945723771743,884
-783.7065844996748,813
-781.0193359791231,820
-778.3328266431781,848
-775.6470563194197,873
-772.9620248353489,924
-770.2777320183878,864
-767.5941776958798,907
-764.9113616950891,879
-762.2292838432011,912
-759.5479439673222,857
-756.8673418944801,853
-754.1874774516235,846
-751.5083504656222,863
-748.8299607632671,868
-746.15230817127,856
-743.475392516264,914
-740.7992136248035,912
-738.1237713233636,848
-735.4490654383407,906
-732.7750957960521,917
-730.1018622227365,917
-727.4293645445534,861
-724.7576025875837,902
-722.0865761778291,896
-719.4162851412126,917
-716.7467293035781,896
-714.0779084906909,944
-711.409822528237,964
