CollectionTime,6/26/2024 3:25:10 PM
ExposureUsed,30
CalibratedSpectrum
-962.7078968117929,888
-959.9714848408522,904
-957.2358232597828,834
-954.5009119013725,851
-951.7667505983302,878
-949.0333391832855,913
-946.3006774887896,912
-943.5687653473143,918
-940.837602591253,903
-938.1071890529199,879
-935.3775245645503,838
-932.6486089583007,897
-929.9204420662485,861
-927.1930237203925,891
-924.4663537526524,829
-921.7404319948689,822
-919.0152582788041,847
-916.2908324361409,1007
-913.5671542984834,895
-910.8442236973568,886
-908.1220404642074,888
-905.4006044304027,864
-902.679915427231,834
-899.959973285902,887
-897.2407778375464,879
-894.5223289132158,909
-891.8046263438832,886
-889.0876699604426,831
-886.3714595937089,821
-883.6559950744183,884
-880.9412762332282,867
-878.2273029007168,889
-875.5140749073835,894
-872.8015920836489,907
-870.0898542598545,821
-867.3788612662631,845
-864.6686129330585,888
-861.9591090903457,905
-859.2503495681506,873
-856.5423341964203,865
-853.8350628050229,917
-851.1285352237478,955
-848.4227512823054,956
-845.7177108103272,905
-843.0134136373656,877
-840.3098595928943,872
-837.6070485063082,888
-834.9049802069229,944
-832.2036545239757,934
-829.5030712866244,969
-826.8032303239481,971
-824.1041314649472,925
-821.4057745385428,977
-818.7081593735775,925
-816.0112857988148,928
-813.3151536429393,909
-810.6197627345566,961
-807.9251129021936,893
-805.2312039742981,904
-802.5380357792392,928
-799.8456081453069,927
-797.1539209007124,935
-794.462973873588,938
-791.772766891987,910
-789.083299783884,926
-786.3945723771743,927
-783.7065844996748,947
-781.0193359791231,949
-778.3328266431781,1013
-775.6470563194197,1003
-772.9620248353489,1016
-770.2777320183878,999
-767.5941776958798,928
-764.9113616950891,1039
-762.2292838432011,1028
-759.5479439673222,1017
-756.8673418944801,971
-754.1874774516235,997
-751.5083504656222,970
-748.8299607632671,955
-746.15230817127,988
-743.475392516264,1073
-740.7992136248035,1013
-738.1237713233636,1027
-735.4490654383407,1029
-732.7750957960521,1053
-730.1018622227365,1051
-727.4293645445534,1042
-724.7576025875837,1030
-722.0865761778291,1053
-719.4162851412126,1054
-716.7467293035781,1104
