CollectionTime,6/28/2024 2:39:34 PM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,647
-959.9714848408522,650
-957.2358232597828,683
-954.5009119013725,645
-951.7667505983302,679
-949.0333391832855,695
-946.3006774887896,649
-943.5687653473143,642
-940.837602591253,702
-938.1071890529199,659
-935.3775245645503,698
-932.6486089583007,644
-929.9204420662485,668
-927.1930237203925,682
-924.4663537526524,729
-921.7404319948689,711
-919.0152582788041,743
-916.2908324361409,716
-913.5671542984834,711
-910.8442236973568,721
-908.1220404642074,738
-905.4006044304027,692
-902.679915427231,714
-899.959973285902,707
-897.2407778375464,715
-894.5223289132158,690
-891.8046263438832,681
-889.0876699604426,699
-886.3714595937089,687
-883.6559950744183,678
-880.9412762332282,691
-878.2273029007168,638
-875.5140749073835,664
-872.8015920836489,654
-870.0898542598545,606
-867.3788612662631,635
-864.6686129330585,706
-861.9591090903457,648
-859.2503495681506,649
-856.5423341964203,629
-853.8350628050229,683
-851.1285352237478,698
-848.4227512823054,697
-845.7177108103272,632
-843.0134136373656,610
-840.3098595928943,664
-837.6070485063082,659
-834.9049802069229,642
-832.2036545239757,629
-829.5030712866244,639
-826.8032303239481,609
-824.1041314649472,680
-821.4057745385428,648
-818.7081593735775,646
-816.0112857988148,631
-813.3151536429393,619
-810.6197627345566,626
-807.9251129021936,670
-805.2312039742981,643
-802.5380357792392,628
-799.8456081453069,626
-797.1539209007124,635
-794.462973873588,651
-791.772766891987,655
-789.083299783884,650
-786.3945723771743,693
-783.7065844996748,663
-781.0193359791231,655
-778.3328266431781,651
-775.6470563194197,704
-772.9620248353489,670
-770.2777320183878,659
-767.5941776958798,656
-764.9113616950891,658
-762.2292838432011,673
-759.5479439673222,668
-756.8673418944801,682
-754.1874774516235,674
-751.5083504656222,692
-748.8299607632671,647
-746.15230817127,659
-743.475392516264,668
-740.7992136248035,661
-738.1237713233636,663
-735.4490654383407,671
-732.7750957960521,685
-730.1018622227365,654
-727.4293645445534,654
-724.7576025875837,710
-722.0865761778291,709
-719.4162851412126,693
-716.7467293035781,735
-714.0779084906909,688
-711.409822528237,682
-708.7424712418238,675
-706.0758544569796,692
-703.4099719991541,682
-700.7448236937178,660
-698.0804093659622,677
-695.4167288411002,685
-692.7537819442656,704
-690.0915685005134,710
-687.4300883348199,709
-684.7693412720819,744
-682.1093271371178,709
-679.4500457546669,707
-676.7914969493897,735
-674.1336805458676,694
-671.4765963686034,712
-668.8202442420206,730
-666.1646239904642,741
-663.5097354382001,743
-660.8555784094151,701
-658.2021527282176,748
-655.5494582186366,747
-652.8974947046223,766
-650.2462620100463,764
-647.5957599587009,762
-644.9459883742998,800
-642.2969470804776,817
-639.6486359007902,819
-637.0010546587141,840
-634.3542031776476,831
-631.7080812809096,746
-629.0626887917401,748
-626.4180255333008,784
-623.7740913286734,748
-621.1308860008619,782
-618.4884093727904,731
-615.8466612673046,776
-613.2056415071715,753
-610.5653499150785,748
-607.9257863136347,768
-605.28695052537,735
-602.6488423727357,750
-600.0114616781036,749
-597.3748082637674,769
-594.7388819519412,740
-592.1036825647604,769
-589.4692099242818,787
-586.8354638524829,775
-584.2024441712624,790
-581.5701507024403,779
-578.9385832677575,747
-576.3077416888759,758
-573.6776257873787,811
-571.0482353847704,797
-568.4195703024757,822
-565.7916303618415,846
-563.164415384135,851
-560.5379251905453,790
-557.9121596021815,795
-555.2871184400748,759
-552.6628015251767,824
-550.0392086783606,793
-547.4163397204204,797
-544.794194472071,825
-542.1727727539491,841
-539.5520743866118,846
-536.9320991905377,873
-534.3128469861261,906
-531.6943175936979,901
-529.0765108334947,942
-526.4594265256793,1018
-523.8430644903358,1184
-521.2274245474689,1322
-518.612506517005,1472
-515.9983102187913,1556
-513.3848354725959,1584
-510.77208209810846,1754
-508.16004991493924,1735
-505.5487387426199,1899
-502.9381484006032,2050
-500.3282787082628,2160
-497.71912948489364,2380
-495.1107005497117,2363
-492.5029917218539,2376
-489.8960028203786,2070
-487.28973366426493,1834
-484.68418407241325,1619
-482.07935386364494,1409
-479.47524285670266,1304
-476.87185087025,1301
-474.2691777228715,1203
-471.66722323307334,1192
-469.0659872192821,1130
-466.4654694998459,1136
-463.86566989303384,1120
-461.26658821703614,1098
-458.66822428996414,1098
-456.07057792985,1080
-453.4736489546475,1066
-450.877437182231,1067
-448.28194243039627,1019
-445.68716451686,1046
-443.09310325926003,1037
-440.49975847515555,1054
-437.9071299820263,989
-435.31521759727354,1095
-432.72402113821954,1044
-430.13354042210767,1071
-427.5437752661022,1085
-424.95472548728867,1122
-422.36639090267386,1123
-419.7787713291855,1135
-417.1918665836721,1109
-414.60567648290385,1096
-412.0202008435715,1182
-409.4354394822874,1165
-406.8513922155845,1118
-404.26805885991723,1111
-401.685439231661,1157
-399.103533147112,1162
-396.522340422488,1100
-393.9418608739278,1100
-391.3620943174908,1043
-388.7830405691583,1057
-386.2046994448317,991
-383.6270707603344,1009
-381.05015433141045,884
-378.473949973725,832
-375.8984575028645,844
-373.32367673433623,813
-370.74960748356875,757
-368.1762495659117,734
-365.60360279663576,621
-363.03166699093265,587
-360.4604419639154,623
-357.8899275306178,612
-355.32012350599507,586
-352.7510297049233,590
-350.1826459421999,557
-347.61497203254316,577
-345.04800779059235,556
-342.4817530309082,526
-339.91620756797226,539
-337.35137121618743,534
-334.7872437898774,517
-332.22382510328725,544
-329.66111497058273,586
-327.09911320585127,594
-324.53781962310075,614
-321.9772340362607,672
-319.4173562591816,608
-316.8581861056348,591
-314.2997233893127,617
-311.7419679238294,676
-309.1849195227194,642
-306.62857799943856,586
-304.0729431673641,596
-301.51801483979375,619
-298.963792829947,583
-296.41027695096386,616
-293.85746701590574,707
-291.3053628377552,794
-288.7539642294155,728
-286.2032710037115,668
-283.65328297338897,670
-281.1039999511146,623
-278.5554217494762,653
-276.007548180983,659
-273.4603790580651,656
-270.9139141930734,671
-268.3681533982807,684
-265.8230964858798,681
-263.27874326798565,759
-260.7350935566336,769
-258.1921471637804,775
-255.6499039013039,697
-253.10836358100266,672
-250.56752601459698,708
-248.02739101372765,843
-245.48795838995704,918
-242.94922795476816,859
-240.41119951956557,792
-237.8738728956746,831
-235.33724789434166,966
-232.80132432673452,1086
-230.2661020039418,1023
-227.73158073697357,796
-225.19776033676033,814
-222.66464061415422,866
-220.1322213799284,871
-217.60050244477725,865
-215.06948361931552,864
-212.53916471408013,897
-210.00954553952818,874
-207.48062590603843,915
-204.9524056239104,970
-202.4248845033651,938
-199.8980623545441,910
-197.37193898751036,868
-194.84651421224817,889
-192.32178783866232,985
-189.79775967657952,974
-187.27442953574644,990
-184.7517972258321,917
-182.2298625564256,902
-179.7086253370378,958
-177.18808537710026,960
-174.66824248596583,964
-172.14909647290835,984
-169.6306471471229,1066
-167.11289431772548,1062
-164.59583779375328,1020
-162.07947738416453,1103
-159.5638128978386,1119
-157.04884414357605,1248
-154.53457093009854,1264
-152.02099306604828,1162
-149.50811035998936,1181
-146.99592262040665,1181
-144.48442965570587,1284
-141.97363127421409,1329
-139.46352728417958,1263
-136.95411749377126,1127
-134.44540171107985,1369
-131.93737974411636,1464
-129.43005140081357,1507
-126.92341648902493,1526
-124.41747481652521,1537
-121.91222619101006,1515
-119.40767042009657,1392
-116.90380731132257,1481
-114.40063667214702,1475
-111.8981583099503,1599
-109.3963720320337,1885
-106.89527764561933,2048
-104.39487495785067,2049
-101.89516377579241,1870
-99.39614390642998,1944
-96.89781515667039,1919
-94.40017733334128,2174
-91.90323024319173,2162
-89.40697369289148,2193
-86.91140748903172,2241
-84.41653143812482,2189
-81.92234534660395,2236
-79.42884902082358,2434
-76.93604226705907,2622
-74.4439248915071,2304
-71.95249670028534,2466
-69.46175749943245,2580
-66.97170709490854,3227
-64.48234529259423,3962
-61.99367189829195,2939
-59.50568671772464,2656
-57.01838955653636,3177
-54.53178022029283,3781
-52.045858514480074,3702
-49.560624244506016,3547
-47.07607721569923,3744
-44.59221723330904,4043
-42.10904410250669,4069
-39.62655762838392,4986
-37.14475761595372,6527
-34.66364387015028,7727
-32.18321619582866,8819
-29.70347439776515,9520
-27.224418280657005,12443
-24.74604764912317,18182
-22.26836230770266,32238
-19.7913620608565,54701
-17.315046712966478,65030
-14.83941606833514,65030
-12.36446993118659,65030
-9.89020810566592,65030
-7.416630395839093,65030
-4.94373660569363,65030
-2.471526539137585,65030
-6.821210263296962E-13,65030
2.47084320796705,65030
4.941003281093458,65030
7.410480415786196,65030
9.879274808531363,65030
12.347386655893956,65030
14.814816154518212,65030
17.28156350112681,65030
19.74762889252179,65030
22.21301252558385,65030
24.67771459727237,65030
27.141735304626195,52205
29.605074844762612,22415
32.06773341487792,11096
34.52971121224755,7620
36.99100843422559,8481
39.45162527824516,9503
41.91156194181792,8368
44.370818622535126,11134
46.82939551806646,14987
49.287292826160524,16631
51.74451074464503,15566
54.201049471426245,11731
56.65690920448981,9694
59.112090141899785,7925
61.56659248179983,5474
64.02041642241159,3833
66.4735621620365,3837
68.92602989905402,3253
71.37781983192338,2711
73.82893215918205,3260
76.27936707944684,3196
78.72912479141326,2873
81.17820549385567,3211
83.62660938562783,2705
86.07433666566146,2336
88.5213875329681,2358
90.96776218663751,2436
93.41346082583925,2587
95.85848364982041,2655
98.30283085790859,2499
100.7465026495089,2296
103.18949922410604,2287
105.63182078126385,2415
108.07346752062438,2421
110.51443964190923,2061
112.95473734491827,1708
115.39436082953114,1730
117.83331029570547,1887
120.27158594347827,2179
122.7091879729652,1734
125.1461165843615,1609
127.58237197794062,1786
130.01795435405518,1564
132.4528639131364,1601
134.88710085569494,1786
137.32066538231982,1857
139.75355769367923,1834
142.1857779905207,1879
144.61732647366978,1791
147.04820334403132,1833
149.47840880258934,1706
151.90794305040674,1721
154.33680628862487,1880
156.76499871846443,1969
159.19252054122433,2240
161.61937195828352,2229
164.04555317109896,2156
166.47106438120693,2374
168.89590579022217,3004
171.320077599839,2949
173.7435800118302,3026
176.16641322804742,2991
178.58857745042144,2994
181.01007288096173,2987
183.43089972175687,3065
185.85105817497413,2841
188.27054844285988,2849
190.6893707277394,2894
193.10752523201643,2990
195.5250121581745,3107
197.9418317087751,3246
200.3579840864594,3206
202.7734694939469,3197
205.18828813403627,3135
207.6024402096051,2998
210.01592592360964,3142
212.42874547908548,3071
214.84089907914665,3051
217.2523869269868,2867
219.66320922587727,3113
222.0733661791695,2847
224.48285799029293,2957
226.8916848627572,3029
229.29984700014882,3052
231.7073446061355,3127
234.11417788446204,3214
236.520347038953,3156
238.92585227351185,3174
241.33069379212054,3246
243.73487179884035,3253
246.1383864978112,3168
248.541238093252,3085
250.9434267894609,3152
253.34495279081432,3129
255.74581630176783,3079
258.1460175268563,3178
260.54555667069314,3238
262.9444339379703,2997
265.3426495334594,3119
267.7402036620107,3083
270.1370965285529,3002
272.53332833809407,2985
274.9288992957214,2911
277.32380960660055,2984
279.718059475976,2934
282.1116491091717,2949
284.5045787115897,2897
286.89684848871195,3055
289.2884586460981,2978
291.67940938938807,2963
294.0697009242996,2983
296.4593334566299,2955
298.84830719225477,2949
301.23662233712923,2949
303.6242790972866,2876
306.01127767884,2868
308.39761828798066,2928
310.78330113097934,2867
313.16832641418534,2842
315.5526943440269,2794
317.9364051270112,2718
320.3194589697242,2558
322.70185607883093,2592
325.0835966610754,2614
327.4646809232805,2612
329.8451090723478,2708
332.2248813152577,2606
334.6039978590701,2520
336.9824589109231,2611
339.36026467803447,2478
341.7374153677,2615
344.113911187295,2586
346.48975234427337,2434
348.8649390461686,2460
351.2394715005918,2436
353.61334991523415,2371
355.9865744978655,2372
358.35914545633375,2524
360.73106299856715,2438
363.10232733257146,2472
365.47293866643247,2389
367.84289720831396,2503
370.2122031664593,2375
372.5808567491905,2262
374.9488581649083,2337
377.31620762209275,2331
379.6829053293021,2359
382.0489514951745,2295
384.4143463284262,2336
386.7790900378528,2307
389.14318283232853,2311
391.50662492080653,2259
393.86941651231916,2204
396.23155781597745,2178
398.5930490409713,2210
400.9538903965696,2204
403.3140820921202,2291
405.6736243370498,2210
408.03251734086336,2211
410.3907613131465,2248
412.74835646356166,2290
415.10530300185144,2306
417.4616011378372,2327
419.81725108141893,2303
422.1722530425758,2244
424.5266072313656,2265
426.880313857925,2213
429.2333731324701,2176
431.58578526529516,2192
433.9375504667738,2194
436.2886689473588,2184
438.63914091758113,2164
440.9889665880513,2173
443.33814616945835,2118
445.68667987257015,2220
448.03456790823395,2095
450.3818104873759,2077
452.72840782100013,2132
455.07436012019105,2180
457.41966759611057,2114
459.7643304600007,2142
462.10834892318155,2192
464.4517231970525,2194
466.79445349309174,2202
469.1365400228566,2237
471.4779829979826,2210
473.81878263018564,2245
476.15893913125876,2261
478.4984527130747,2334
480.8373235875855,2363
483.17555196682144,2487
485.5131380628919,2602
487.8500820879857,2762
490.1863842543697,3007
492.52204477439034,3303
494.8570638604725,3567
497.1914417251204,3835
499.52517858091653,3974
501.85827464052306,4086
504.19073011668036,4174
506.5225452222086,3981
508.85372017000566,3890
511.18425517304956,3665
513.514150444396,3905
515.8434061971808,4672
518.1720226446176,5280
520.4999999999999,5650
522.8273384766991,5976
525.1540382881666,6264
527.480099647932,5724
529.8055227696037,4558
532.1303078668694,3120
534.454455153496,2533
536.777964843328,2272
539.1008371502907,2154
541.4230722883866,2149
543.744670471698,2086
546.0656319143858,2077
548.3859568306899,2014
550.7056454349294,2010
553.0246979415016,1936
555.3431145648834,1936
557.6608955196306,1997
559.978041020377,1901
562.2945512818363,1926
564.6104265188006,1910
566.9256669461412,1891
569.2402727788082,1847
571.5542442318302,1940
573.8675815203156,1952
576.1802848594508,1910
578.4923544645015,1932
580.8037905508126,1941
583.114593333807,1887
585.4247630289875,1913
587.7342998519354,1929
590.0432040183106,1887
592.3514757438526,1915
594.6591152443794,1866
596.9661227357875,1975
599.2724984340531,1898
601.578242555231,1929
603.8833553154542,1833
606.1878369309362,2045
608.4916876179676,1993
610.7949075929192,2022
613.0974970722403,1957
615.3994562724587,1959
617.7007854101818,1941
620.0014847020951,1965
622.3015543649641,1924
624.6009946156324,1939
626.8998056710224,1961
629.1979877481361,1973
631.4955410640538,1877
633.7924658359349,1962
636.0887622810175,1919
638.3844306166192,1884
640.6794710601358,1929
642.9738838290426,1937
645.2676691408932,1972
647.5608272133207,1934
649.853358264037,1897
652.1452625108324,1969
