CollectionTime,9/25/2024 11:14:24 AM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,610
-959.9714848408522,619
-957.2358232597828,643
-954.5009119013725,660
-951.7667505983302,666
-949.0333391832855,669
-946.3006774887896,667
-943.5687653473143,684
-940.837602591253,646
-938.1071890529199,669
-935.3775245645503,611
-932.6486089583007,639
-929.9204420662485,651
-927.1930237203925,646
-924.4663537526524,650
-921.7404319948689,672
-919.0152582788041,640
-916.2908324361409,663
-913.5671542984834,656
-910.8442236973568,634
-908.1220404642074,618
-905.4006044304027,654
-902.679915427231,661
-899.959973285902,648
-897.2407778375464,663
-894.5223289132158,633
-891.8046263438832,675
-889.0876699604426,679
-886.3714595937089,656
-883.6559950744183,630
-880.9412762332282,655
-878.2273029007168,660
-875.5140749073835,631
-872.8015920836489,665
-870.0898542598545,623
-867.3788612662631,622
-864.6686129330585,611
-861.9591090903457,648
-859.2503495681506,648
-856.5423341964203,690
-853.8350628050229,655
-851.1285352237478,631
-848.4227512823054,649
-845.7177108103272,676
-843.0134136373656,631
-840.3098595928943,653
-837.6070485063082,685
-834.9049802069229,707
-832.2036545239757,659
-829.5030712866244,655
-826.8032303239481,666
-824.1041314649472,666
-821.4057745385428,628
-818.7081593735775,654
-816.0112857988148,621
-813.3151536429393,660
-810.6197627345566,669
-807.9251129021936,641
-805.2312039742981,646
-802.5380357792392,663
-799.8456081453069,675
-797.1539209007124,669
-794.462973873588,626
-791.772766891987,675
-789.083299783884,706
-786.3945723771743,690
-783.7065844996748,658
-781.0193359791231,656
-778.3328266431781,676
-775.6470563194197,685
-772.9620248353489,654
-770.2777320183878,701
-767.5941776958798,676
-764.9113616950891,707
-762.2292838432011,662
-759.5479439673222,611
-756.8673418944801,656
-754.1874774516235,682
-751.5083504656222,654
-748.8299607632671,680
-746.15230817127,680
-743.475392516264,686
-740.7992136248035,720
-738.1237713233636,695
-735.4490654383407,653
-732.7750957960521,673
-730.1018622227365,672
-727.4293645445534,666
-724.7576025875837,664
-722.0865761778291,714
-719.4162851412126,654
-716.7467293035781,690
-714.0779084906909,684
-711.409822528237,700
-708.7424712418238,735
-706.0758544569796,689
-703.4099719991541,720
-700.7448236937178,697
-698.0804093659622,700
-695.4167288411002,707
-692.7537819442656,708
-690.0915685005134,711
-687.4300883348199,690
-684.7693412720819,723
-682.1093271371178,724
-679.4500457546669,710
-676.7914969493897,719
-674.1336805458676,725
-671.4765963686034,721
-668.8202442420206,732
-666.1646239904642,751
-663.5097354382001,737
-660.8555784094151,712
-658.2021527282176,744
-655.5494582186366,721
-652.8974947046223,727
-650.2462620100463,750
-647.5957599587009,744
-644.9459883742998,785
-642.2969470804776,766
-639.6486359007902,775
-637.0010546587141,723
-634.3542031776476,788
-631.7080812809096,746
-629.0626887917401,738
-626.4180255333008,691
-623.7740913286734,756
-621.1308860008619,773
-618.4884093727904,718
-615.8466612673046,738
-613.2056415071715,710
-610.5653499150785,741
-607.9257863136347,776
-605.28695052537,772
-602.6488423727357,745
-600.0114616781036,764
-597.3748082637674,768
-594.7388819519412,818
-592.1036825647604,781
-589.4692099242818,808
-586.8354638524829,750
-584.2024441712624,793
-581.5701507024403,783
-578.9385832677575,794
-576.3077416888759,786
-573.6776257873787,769
-571.0482353847704,793
-568.4195703024757,772
-565.7916303618415,767
-563.164415384135,793
-560.5379251905453,773
-557.9121596021815,774
-555.2871184400748,770
-552.6628015251767,797
-550.0392086783606,781
-547.4163397204204,803
-544.794194472071,775
-542.1727727539491,796
-539.5520743866118,812
-536.9320991905377,814
-534.3128469861261,872
-531.6943175936979,880
-529.0765108334947,842
-526.4594265256793,932
-523.8430644903358,1049
-521.2274245474689,1193
-518.612506517005,1277
-515.9983102187913,1230
-513.3848354725959,1195
-510.77208209810846,1380
-508.16004991493924,1407
-505.5487387426199,1529
-502.9381484006032,1487
-500.3282787082628,1489
-497.71912948489364,1449
-495.1107005497117,1337
-492.5029917218539,1256
-489.8960028203786,1155
-487.28973366426493,1036
-484.68418407241325,981
-482.07935386364494,937
-479.47524285670266,903
-476.87185087025,936
-474.2691777228715,903
-471.66722323307334,987
-469.0659872192821,976
-466.4654694998459,932
-463.86566989303384,903
-461.26658821703614,914
-458.66822428996414,931
-456.07057792985,989
-453.4736489546475,967
-450.877437182231,936
-448.28194243039627,906
-445.68716451686,878
-443.09310325926003,943
-440.49975847515555,899
-437.9071299820263,851
-435.31521759727354,894
-432.72402113821954,938
-430.13354042210767,934
-427.5437752661022,1014
-424.95472548728867,966
-422.36639090267386,917
-419.7787713291855,972
-417.1918665836721,996
-414.60567648290385,992
-412.0202008435715,976
-409.4354394822874,1016
-406.8513922155845,968
-404.26805885991723,1024
-401.685439231661,993
-399.103533147112,1003
-396.522340422488,977
-393.9418608739278,970
-391.3620943174908,981
-388.7830405691583,959
-386.2046994448317,853
-383.6270707603344,903
-381.05015433141045,876
-378.473949973725,791
-375.8984575028645,729
-373.32367673433623,714
-370.74960748356875,669
-368.1762495659117,638
-365.60360279663576,597
-363.03166699093265,548
-360.4604419639154,551
-357.8899275306178,508
-355.32012350599507,522
-352.7510297049233,501
-350.1826459421999,508
-347.61497203254316,469
-345.04800779059235,420
-342.4817530309082,445
-339.91620756797226,479
-337.35137121618743,533
-334.7872437898774,493
-332.22382510328725,471
-329.66111497058273,497
-327.09911320585127,522
-324.53781962310075,482
-321.9772340362607,497
-319.4173562591816,476
-316.8581861056348,504
-314.2997233893127,479
-311.7419679238294,508
-309.1849195227194,492
-306.62857799943856,494
-304.0729431673641,521
-301.51801483979375,506
-298.963792829947,540
-296.41027695096386,533
-293.85746701590574,569
-291.3053628377552,646
-288.7539642294155,573
-286.2032710037115,611
-283.65328297338897,560
-281.1039999511146,569
-278.5554217494762,552
-276.007548180983,604
-273.4603790580651,600
-270.9139141930734,683
-268.3681533982807,704
-265.8230964858798,619
-263.27874326798565,582
-260.7350935566336,623
-258.1921471637804,721
-255.6499039013039,784
-253.10836358100266,747
-250.56752601459698,689
-248.02739101372765,701
-245.48795838995704,733
-242.94922795476816,743
-240.41119951956557,706
-237.8738728956746,756
-235.33724789434166,804
-232.80132432673452,734
-230.2661020039418,725
-227.73158073697357,787
-225.19776033676033,788
-222.66464061415422,842
-220.1322213799284,845
-217.60050244477725,749
-215.06948361931552,762
-212.53916471408013,923
-210.00954553952818,934
-207.48062590603843,808
-204.9524056239104,794
-202.4248845033651,872
-199.8980623545441,1010
-197.37193898751036,963
-194.84651421224817,906
-192.32178783866232,787
-189.79775967657952,838
-187.27442953574644,988
-184.7517972258321,994
-182.2298625564256,831
-179.7086253370378,739
-177.18808537710026,938
-174.66824248596583,1141
-172.14909647290835,1172
-169.6306471471229,1162
-167.11289431772548,951
-164.59583779375328,857
-162.07947738416453,935
-159.5638128978386,1210
-157.04884414357605,1356
-154.53457093009854,1620
-152.02099306604828,1378
-149.50811035998936,1132
-146.99592262040665,1086
-144.48442965570587,1225
-141.97363127421409,1341
-139.46352728417958,1525
-136.95411749377126,1632
-134.44540171107985,1452
-131.93737974411636,1294
-129.43005140081357,1360
-126.92341648902493,2003
-124.41747481652521,2430
-121.91222619101006,2718
-119.40767042009657,3089
-116.90380731132257,3520
-114.40063667214702,3394
-111.8981583099503,2680
-109.3963720320337,2475
-106.89527764561933,3158
-104.39487495785067,4345
-101.89516377579241,6143
-99.39614390642998,8117
-96.89781515667039,8725
-94.40017733334128,8897
-91.90323024319173,6189
-89.40697369289148,3543
-86.91140748903172,2791
-84.41653143812482,3212
-81.92234534660395,4359
-79.42884902082358,6403
-76.93604226705907,6916
-74.4439248915071,7070
-71.95249670028534,6871
-69.46175749943245,6605
-66.97170709490854,6970
-64.48234529259423,8321
-61.99367189829195,11232
-59.50568671772464,13270
-57.01838955653636,17120
-54.53178022029283,17820
-52.045858514480074,16928
-49.560624244506016,16868
-47.07607721569923,15818
-44.59221723330904,11123
-42.10904410250669,8611
-39.62655762838392,10787
-37.14475761595372,14991
-34.66364387015028,18005
-32.18321619582866,25317
-29.70347439776515,29988
-27.224418280657005,31650
-24.74604764912317,39008
-22.26836230770266,57471
-19.7913620608565,65040
-17.315046712966478,65040
-14.83941606833514,65040
-12.36446993118659,65040
-9.89020810566592,65040
-7.416630395839093,65040
-4.94373660569363,65040
-2.471526539137585,65040
-6.821210263296962E-13,65040
2.47084320796705,65040
4.941003281093458,65040
7.410480415786196,65040
9.879274808531363,65040
12.347386655893956,65040
14.814816154518212,65040
17.28156350112681,65040
19.74762889252179,65040
22.21301252558385,22297
24.67771459727237,4984
27.141735304626195,3799
29.605074844762612,3459
32.06773341487792,2878
34.52971121224755,2717
36.99100843422559,2873
39.45162527824516,3175
41.91156194181792,3179
44.370818622535126,2723
46.82939551806646,2324
49.287292826160524,2620
51.74451074464503,2593
54.201049471426245,2389
56.65690920448981,2611
59.112090141899785,2573
61.56659248179983,2622
64.02041642241159,2361
66.4735621620365,2078
68.92602989905402,2101
71.37781983192338,2435
73.82893215918205,1861
76.27936707944684,1749
78.72912479141326,1569
81.17820549385567,1749
83.62660938562783,1772
86.07433666566146,1608
88.5213875329681,1662
90.96776218663751,1949
93.41346082583925,1829
95.85848364982041,1478
98.30283085790859,1234
100.7465026495089,1190
103.18949922410604,1276
105.63182078126385,1409
108.07346752062438,1600
110.51443964190923,1558
112.95473734491827,1246
115.39436082953114,1122
117.83331029570547,1303
120.27158594347827,1450
122.7091879729652,1472
125.1461165843615,1406
127.58237197794062,1159
130.01795435405518,1025
132.4528639131364,1084
134.88710085569494,1109
137.32066538231982,1307
139.75355769367923,1073
142.1857779905207,1042
144.61732647366978,1050
147.04820334403132,1037
149.47840880258934,1141
151.90794305040674,1043
154.33680628862487,1166
156.76499871846443,1351
159.19252054122433,1385
161.61937195828352,1418
164.04555317109896,1560
166.47106438120693,1715
168.89590579022217,1993
171.320077599839,2010
173.7435800118302,2097
176.16641322804742,2100
178.58857745042144,2281
181.01007288096173,2297
183.43089972175687,2266
185.85105817497413,2331
188.27054844285988,2285
190.6893707277394,2303
193.10752523201643,2296
195.5250121581745,2507
197.9418317087751,2326
200.3579840864594,2277
202.7734694939469,2428
205.18828813403627,2443
207.6024402096051,2609
210.01592592360964,2543
212.42874547908548,2547
214.84089907914665,2513
217.2523869269868,2401
219.66320922587727,2481
222.0733661791695,2482
224.48285799029293,2521
226.8916848627572,2495
229.29984700014882,2596
231.7073446061355,2572
234.11417788446204,2573
236.520347038953,2529
238.92585227351185,2614
241.33069379212054,2547
243.73487179884035,2556
246.1383864978112,2732
248.541238093252,2733
250.9434267894609,2847
253.34495279081432,2789
255.74581630176783,2793
258.1460175268563,2823
260.54555667069314,2858
262.9444339379703,2769
265.3426495334594,2731
267.7402036620107,2728
270.1370965285529,2674
272.53332833809407,2537
274.9288992957214,2468
277.32380960660055,2432
279.718059475976,2411
282.1116491091717,2353
284.5045787115897,2315
286.89684848871195,2387
289.2884586460981,2339
291.67940938938807,2297
294.0697009242996,2400
296.4593334566299,2335
298.84830719225477,2390
301.23662233712923,2353
303.6242790972866,2290
306.01127767884,2328
308.39761828798066,2336
310.78330113097934,2258
313.16832641418534,2233
315.5526943440269,2136
317.9364051270112,2107
320.3194589697242,2124
322.70185607883093,2060
325.0835966610754,2087
327.4646809232805,2123
329.8451090723478,2087
332.2248813152577,2077
334.6039978590701,2097
336.9824589109231,2064
339.36026467803447,2028
341.7374153677,1977
344.113911187295,1964
346.48975234427337,1948
348.8649390461686,2007
351.2394715005918,1999
353.61334991523415,2020
355.9865744978655,2008
358.35914545633375,1904
360.73106299856715,2010
363.10232733257146,2003
365.47293866643247,1986
367.84289720831396,1939
370.2122031664593,1870
372.5808567491905,1875
374.9488581649083,1864
377.31620762209275,1921
379.6829053293021,1858
382.0489514951745,1845
384.4143463284262,1860
386.7790900378528,1878
389.14318283232853,1829
391.50662492080653,1841
393.86941651231916,1831
396.23155781597745,1896
398.5930490409713,1942
400.9538903965696,1870
403.3140820921202,1902
405.6736243370498,1860
408.03251734086336,1826
410.3907613131465,1865
412.74835646356166,1855
415.10530300185144,1858
417.4616011378372,1808
419.81725108141893,1790
422.1722530425758,1758
424.5266072313656,1847
426.880313857925,1788
429.2333731324701,1794
431.58578526529516,1779
433.9375504667738,1801
436.2886689473588,1714
438.63914091758113,1807
440.9889665880513,1775
443.33814616945835,1852
445.68667987257015,1756
448.03456790823395,1784
450.3818104873759,1770
452.72840782100013,1838
455.07436012019105,1815
457.41966759611057,1736
459.7643304600007,1713
462.10834892318155,1766
464.4517231970525,1848
466.79445349309174,1706
469.1365400228566,1736
471.4779829979826,1816
473.81878263018564,1804
476.15893913125876,1830
478.4984527130747,1820
480.8373235875855,1836
483.17555196682144,1852
485.5131380628919,1892
487.8500820879857,1984
490.1863842543697,2045
492.52204477439034,2146
494.8570638604725,2235
497.1914417251204,2428
499.52517858091653,2728
501.85827464052306,2916
504.19073011668036,3105
506.5225452222086,3258
508.85372017000566,3155
511.18425517304956,3216
513.514150444396,3460
515.8434061971808,4172
518.1720226446176,4905
520.4999999999999,4921
522.8273384766991,4722
525.1540382881666,4426
527.480099647932,3871
529.8055227696037,3227
532.1303078668694,2404
534.454455153496,2087
536.777964843328,2022
539.1008371502907,1851
541.4230722883866,1862
543.744670471698,1811
546.0656319143858,1738
548.3859568306899,1681
550.7056454349294,1804
553.0246979415016,1798
555.3431145648834,1779
557.6608955196306,1817
559.978041020377,1787
562.2945512818363,1749
564.6104265188006,1747
566.9256669461412,1721
569.2402727788082,1803
571.5542442318302,1809
573.8675815203156,1779
576.1802848594508,1816
578.4923544645015,1847
580.8037905508126,1861
583.114593333807,1855
585.4247630289875,1833
587.7342998519354,1825
590.0432040183106,1825
592.3514757438526,1850
594.6591152443794,1822
596.9661227357875,1758
599.2724984340531,1811
601.578242555231,1804
603.8833553154542,1843
606.1878369309362,1801
608.4916876179676,1804
610.7949075929192,1740
613.0974970722403,1769
615.3994562724587,1775
617.7007854101818,1748
620.0014847020951,1816
622.3015543649641,1789
624.6009946156324,1771
626.8998056710224,1814
629.1979877481361,1839
631.4955410640538,1855
633.7924658359349,1817
636.0887622810175,1799
638.3844306166192,1823
640.6794710601358,1848
642.9738838290426,1806
645.2676691408932,1837
647.5608272133207,1867
649.853358264037,1809
652.1452625108324,1871
654.4365401715764,1783
656.7271914642178,1858
659.0172166067838,1897
