Experiment Number,G Band Area Result,Diameter Control Result,Patch,Pillar,C2H4 Flow Rate [sccm],Ar/CO2 Flow Rate [sccm],CO2 Flow Rate [sccm],Temperature [C],Water [ppm],Pressure [Torr],488 control,633 control,785 control,488 diff,633 diff,785 diff,Control Center,488 raw control,488 raw center,633 raw control,633 raw center,785 raw control,785 raw center,Control Width,Total Control,Mean Control,488 Agreement,633 Agreement,785 Agreement,Mean Agreement
1,0.459315546,0.2803472,10,1,179,41.9,4.19,794.35,0.975,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.047812093,0.3289325,10,6,53,5.3,0.53,850.85,0.964,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.058736595,0.4975685,10,11,112,49.3,4.93,716.35,0.95,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000407752,0.325929,10,16,12,4.4,0.44,902.1,0.946,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.111380206,0.5054106,10,21,176,9.5,0.95,852.6,0.947,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.042363277,0.258833235,31,11,105.5,72.5,7.25,583.85,0.971,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.81294856,0.70867188,31,12,112,134,13.4,753.85,0.989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.039283043,0.804918835,31,13,111,113,11.3,752.85,1.02,10,0.758114026,0,0.604747042,0.516228052,-1,0.209494083,228.0519002,0.758114026,210.2167969,0.002394391,205.2939453,0.215880324,230.8564453,55.38783222,1.362861068,0.454287023,0.941851518,0,0.751314313,0.56438861
9,3.6895072,0.740538431,31,14,125,140,14,715.85,1.01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4.155087272,0.647103947,31,15,129,182,18.2,716.1,0.998,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3.143729511,0.64807884,31,16,138.5,166,16.6,738.6,0.989,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3.134277386,0.715198451,31,17,114.5,183,18.3,678.1,0.982,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3.732488221,0.68542534,31,18,112.5,205.5,20.55,696.1,0.975,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3.883375922,0.755740052,31,19,114.5,233,23.3,719.6,0.969,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.67049622,0.812648492,31,20,98.5,220,22,738.35,0.964,10,0.415752457,0.041907929,0.595711691,-0.168495086,-0.916184141,0.191423382,230.4517704,0.415752457,214.8613281,0.032799694,226.1113281,0.142989184,246.453125,60.18757258,1.053372077,0.351124026,0.511601832,0.051569565,0.733049648,0.432073682
16,3.210597779,0.730604873,31,21,138,262.5,26.25,657.35,0.96,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3.438215085,0.690625979,31,22,137,300,30,707.1,0.955,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.302940617,0.865610265,31,23,121,268,26.8,743.6,0.951,10,0.218353147,0.020752546,0.644807852,-0.563293707,-0.958494907,0.289615704,232.8503168,0.218353147,210.2167969,0.014244703,304.7246094,0.416854031,241.2431641,64.98466545,0.883913545,0.294637848,0.252253416,0.023974469,0.744917058,0.340381648
19,3.125976572,0.696004126,31,24,94.5,356.5,35.65,558.35,0.947,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4.79995596,0.649144842,31,25,87.5,357.5,35.75,620.85,0.943,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6.767528398,0.568137063,32,5,83.5,427,42.7,591.85,0.917,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3.191900721,0.713502093,32,6,75.5,481.5,48.15,587.85,0.919,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3.839803902,0.696748344,32,7,96.5,425.5,42.55,598.85,0.924,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.330805617,0.657639895,32,8,60,399,39.9,572.6,0.928,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4.751388308,0.636485741,32,9,82,433,43.3,622.85,0.923,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4.929006486,0.770110512,32,10,68.5,411.5,41.15,726.35,0.92,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.921772777,0,32,11,99,500,50,760.85,0.917,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
28,6.601775677,0.580408915,32,12,53.5,351.5,35.15,690.1,0.914,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5.270200634,0.315966191,32,13,78.5,346,34.6,684.35,0.911,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5.180832995,0.594799685,32,14,50,405.5,40.55,620.6,0.909,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4.825944753,0.952854083,32,15,52.5,400,40,604.1,0.907,10,0,0,0.142742227,-1,-1,-0.714515546,236.4934583,0,210.2167969,1,303.6977539,0.737174481,273.6455078,43.30511845,0.142742227,0.047580742,0,0,0.149804917,0.049934972
32,0.000173723,1,35,12,30,393.5,39.35,623.6,0.905,10,,,0,,,-1,222.068045,,100,,100,0.909000283,310.3237305,19.27859913,,,,,0,
33,6.905582982,0.597654103,35,15,17,359.5,35.95,676.1,0.936,10,0.024652021,0.008527404,0.580193969,-0.950695958,-0.982945191,0.160387938,236.4991016,0.531973223,268.1552734,0.384510641,287.222168,0.286465915,246.453125,38.49342937,0.613373394,0.204457798,0.041247974,0.014268127,0.970785553,0.342100551
34,3.171873227,0.17748552,35,21,26.5,343.5,34.35,718.35,0.931,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.893920982,3.73E-14,35,22,66.5,392,39.2,608.6,0.929,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.000584006,0,35,23,17.5,441,44.1,510.6,0.924,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
37,0.053997448,0.486545664,36,22,49.5,433.5,43.35,583.85,0.92,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.51219995,0.677882934,36,23,87.5,281,28.1,603.85,0.918,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2.213909428,0.473803453,36,24,100.5,383,38.3,619.35,0.915,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7.197962145,0.766916884,38,23,127.5,222,22.2,791.6,0.997,10,0.010950974,0,0.56629042,-0.978098052,-1,0.132580839,232.8808711,0.458279618,218.3408203,0.009822826,261.387207,0.207327549,245.8046875,45.72989038,0.577241394,0.192413798,0.014279219,0,0.738398686,0.250892635
